Ref,Val,Package,PosX,PosY,Rot,Side
"LD1","20mA/1.45V","LED_1206_3015Metric_Castellated",-142.500000,-114.500000,0.000000,bottom
"LD2","20mA/1.3V","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-157.500000,-114.500000,180.000000,bottom
"LD3","20mA/1.2V","LED_0805_2012Metric_Castellated",-157.500000,-111.150000,180.000000,bottom
"LD4","50mA/1.3V","LED_PLCC-2",-142.500000,-111.150000,0.000000,bottom
"LD5","20mA/1V","LED_1206_3216Metric_Castellated",-142.500000,-107.800000,0.000000,bottom
"LD6","20mA/1V","LED_1206_3216Metric_Castellated",-157.500000,-107.800000,180.000000,bottom
"LD7","20mA/1V","LED_1206_3216Metric_Castellated",-157.500000,-104.450000,180.000000,bottom
"LD8","20mA/1V","LED_1206_3216Metric_Castellated",-142.500000,-104.450000,0.000000,bottom
"LD9","20mA/1.7V","LED_1206_3216Metric_Castellated",-142.500000,-117.850000,0.000000,bottom
"LD10","20mA/1.8V","LED_0805_2012Metric_Castellated",-157.500000,-117.900000,180.000000,bottom
"LD11","20mA/2.1V","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-157.500000,-121.200000,180.000000,bottom
"LD12","20mA/2V","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-142.500000,-121.200000,0.000000,bottom
"LD13","20mA/2V","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-157.500000,-124.550000,180.000000,bottom
"LD14","20mA/2.1V","LED_Broadcom_HSMx-C110",-157.500000,-127.900000,180.000000,bottom
"LD15","20mA/3.2V","LED_0805_2012Metric_Castellated",-142.500000,-124.550000,0.000000,bottom
"LD16","20mA/3.3V","LED_BrightLED_HB332Y",-142.500000,-127.900000,0.000000,bottom
"PD1","570nm","Osram_SFH24xx",-150.000000,-126.200000,90.000000,bottom
"PD2","820nm","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-150.000000,-119.500000,90.000000,bottom
"PD3","940nm","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-150.000000,-112.850000,90.000000,bottom
"PD4","1580nm","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-150.000000,-106.150000,90.000000,bottom
